1:1	ቃለ፡ በረከት፡ ዘሄኖክ፡ በከመ፡ ባረከ፡ ኅሩያነ፡ ወጻድቃነ፡ እለ፡ ሀለዉ፡ ይኩኑ፡ በዕለተ፡ ምንዳቤ፡ ለአሰስሎ፡ ኵሉ፡ እኩያን፡ ወረሲዓን።
6:8	እሉ፡ እሙንቱ፡ ሐበይቶሙ፡ ለክልኤቱ፡ ምእት፡ መላእክት።
7:1	ወባዕዳንሂ፡ ኵሉ፡ ምስሌሆሙ፡ ወነሥኡ፡ ሎሙ፡ አንስትያ፡ ወኀረየ፡ ኵሉ፡ ለለ፡ ርእሱ፡ አሐተ፡ አሐተ፡ ወወጠኑ፡ ይባኡ፡ ኀቤሆን፡ ወተደመሩ፡ ምስሌሆን፡ ወመሀርዎን፡ ሥራያተ፡ ወስብዓታተ፡ ወመቲረ፡ ሥርው፡ ወዕፀወ፡ አመርዎን።
7:2	ወእማንቱሰ፡ ፀንሳ፡ ወወለዳ፡ ረዓይተ፡ ዐበይተ፡ ወቆሞሙ፡ በበ፡ ሠላሳ፡ ምእት፡ በእመት።
7:3	እሉ፡ በልዑ፡ ኵሎ፡ ጻማ፡ ሰብእ፡ እስከ፡ ስእንዎሙ፡ ሴስዮተ፡ ሰብእ።
7:4	ወተመይጡ፡ ረዓይት፡ ላዕሌሆሙ፡ ይብልዕዎሙ፡ ለሰብእ።
7:5	ወወጠኑ፡ የአብሱ፡ በአዕዋፍ፡ ወበአራዊት፡ ወበዘይትሐወስ፡ ወበዓሣት፡ ወሥጋሆሙ፡ በበይናቲሆሙ፡ ተባልዑ፡ ወደመ፡ ሰትዩ፡ እምኔሃ።
7:6	ወአሜሃ፡ ሰከየቶሙ፡ ለዐማፅያን።
8:1	ወአዛዝኤል፡ መሀሮሙ፡ ለሰብእ፡ ገቢረ፡ አስይፍት፡ ወመጥባሕት፡ ወወልታ፡ ወድርዐ፡ እንግድዓ፡ ወአርአዮሙ፡ ለዘእምድኅሬሆሙ፡ ወምግባራቲሆሙ፡ አውቃፋተ፡ ወሠርጐ፡ ወተኵሕሎተ፡ ወአሠንዮ፡ ቀራንብት፡ ወእብነ፡ እምኵሉ፡ እብን፡ ክቡር፡ ወኅሩይ፡ ወኵሎ፡ ጥምዐታተ፡ ኅብር፡ ወተውላጠ፡ ዓለም።
8:2	ወኮነ፡ ርስዐት፡ ዐቢይ፡ ወዘምዎ፡ ወስሕቱ፡ ወማሰነ፡ ኵሉ፡ ፍናዊሆሙ።
8:3	አሜዛራክ፡ መሀረ፡ ኵሎ፡ መሳብዕያነ፡ ወመታርያነ፡ ሥርዋት፡ አርሚሮስ፡ ፈትሐ፡ ስብዓታተ፡ ወበራቅኤል፡ ረኣይያነ፡ ከዋክብት፡ ወኮከብኤል፡ ትእምርታተ፡ ወጥምኤል፡ መሀረ፡ ራእየ፡ ኮከብ፡ ወአስራድኤል፡ መሀረ፡ ሩጸተ፡ ወርኅ።
8:4	ወበህጕለተ፡ ሰብእ፡ ጸርሑ፡ ሰብእ፡ ወበጽሐ፡ ቃሎሙ፡ ሰማየ።
9:1	ወአሜሃ፡ ሐወጹ፡ ሚካኤል፡ ወገብርኤል፡ ወሱሩያል፡ ወኡርያል፡ እምሰማይ፡ ወርእዩ፡ ብዙኀ፡ ደመ፡ ዘይትከዐው፡ በዲበ፡ ምድር፡ ወኵሎ፡ ዐመፃ፡ ዘይትገበር፡ በዲበ፡ ምድር።
9:2	ወይቤሉ፡ በበይናቲሆሙ፡ ቃለ፡ ጽራሐቲሆሙ፡ ዕራቃ፡ ጸርሐት፡ ምድር፡ እስከ፡ አንቀጸ፡ ሰማይ።
9:3	ወይእዜኒ፡ ኦ፡ ቅዱሳነ፡ ሰማይ፡ ለክሙ፡ ይሰክዩ፡ ነፍሳተ፡ ሰብእ፡ እንዘ፡ ይብሉ፡ አብኡ፡ ለነ፡ ፍትሐ፡ ኀበ፡ ልዑል።
9:4	ወይቤሉ፡ ለእግዚኦሙ፡ ለንጉሥ፡ እስመ፡ እግዚኦሙ፡ ለአጋእዝት፡ ወአምላኮሙ፡ ለአማልክት፡ ወንጉሦሙ፡ ለነገሥት፡ ወመንበረ፡ ስብሐቲሁ፡ ውስተ፡ ኵሉ፡ ትውልድ፡ ዘለዓለም፡ ወስምከ፡ ቅዱስ፡ ወስቡሕ፡ ውስተ፡ ኵሉ፡ ትውልድ፡ ዓለም፡ ወቡሩክ፡ ወስቡሕ።
9:5	አንተ፡ ወገበርከ፡ ኵሎ፡ ወሥልጣነ፡ ኵሉ፡ ምስሌከ፡ ወኵሉ፡ ክሡት፡ በቅድሜከ፡ ወግሁድ፡ ወአንተ፡ ትሬኢ፡ ኵሎ፡ ወአልቦ፡ ዘይትከሀል፡ ይትኀባእ፡ እምኔከ።
9:6	ርኢኬ፡ ዘገብረ፡ አዛዝኤል፡ ዘከመ፡ መሀረ፡ ኵሎ፡ ዐመፃ፡ በዲበ፡ ምድር፡ ወአግሀደ፡ ኅቡኣተ፡ ዓለም፡ እለ፡ ይትገበራ፡ በሰማያት።
9:7	ወአመረ፡ ስብዓታተ፡ ስማዝያ፡ ዘአንተ፡ ወሀብኮ፡ ሥልጣነ፡ ከመ፡ ይኰንን፡ እለ፡ ምስሌሁ፡ ኅቡረ።
9:8	ወሖሩ፡ ኀበ፡ አዋልደ፡ ሰብእ፡ ኅቡረ፡ ወሰከቡ፡ ምስሌሆን፡ ለእልኩ፡ አንስት፡ ወረኵሱ፡ ወአግሀዱ፡ ሎን፡ እሎንተ፡ ኃጣውአ።
9:9	ወአንስትኒ፡ ወለዳ፡ ረዓይተ፡ ወበዝ፡ መልአት፡ ኵላ፡ ምድር፡ ደመ፡ ወዐመፃ።
9:10	ወይእዜኒ፡ ናሁ፡ ይጸርሑ፡ ነፍሳተ፡ እለ፡ ሞቱ፡ ወይሰክዩ፡ እስከ፡ አንቀጸ፡ ሰማይ፡ ወዐርገ፡ ገዐሮሙ፡ ወኢይክሉ፡ ወፂአ፡ እምቅድመ፡ ገጸ፡ ዐመፃ፡ ዘይትገበር፡ በዲበ፡ ምድር።
9:11	ወአንተ፡ ተአምር፡ ኵሎ፡ ዘእንበለ፡ ይኩን፡ ወአንተ፡ ተአምር፡ ዘንተ፡ ወዘዚኣሆሙ፡ ወአልቦ፡ ዘትነግረነ፡ ወምንት፡ መፍትው፡ ንረስዮሙ፡ በእንተ፡ ዝንቱ።
10:1	ወአሜሃ፡ ልዑል፡ ዐቢይ፡ ወቅዱስ፡ ተናገረ፡ ወፈነዎ፡ ለአርስየላልዩር፡ ኀበ፡ ወልደ፡ ላሜክ።
10:2	ወይቤሎ፡ በሎ፡ በስመ፡ ዚኣየ፡ ኅባእ፡ ርእሰከ፡ ወአግህድ፡ ሎቱ፡ ፍጻሜ፡ ዘይመጽእ፡ እስመ፡ ኵላ፡ ምድር፡ ትትሀጐል፡ ወማየ፡ አይኅ፡ ይመጽእ፡ ሀሎ፡ ዲበ፡ ኵላ፡ ምድር፡ ወይትሀጐል፡ ዘሀሎ፡ ውስቴታ።
10:3	ወይእዜኒ፡ መሀሮ፡ ከመ፡ ይንፍጽ፡ ወይንበር፡ ዘርዑ፡ በኵሉ፡ ምድር።
10:4	ወይቤሎ፡ ካዕበ፡ እግዚእ፡ ለሩፋኤል፡ እስሮ፡ ለአዛዝኤል፡ በእደዊሁ፡ ወበእግሪሁ፡ ወደዮ፡ ውስተ፡ ጽልመት፡ ወአብቅዋ፡ ለገዳም፡ እንተ፡ ሀለወት፡ በዱዳኤል፡ ወደዮ፡ ውስተ፡ ጽልመት፡ በህየ።
10:5	ወደይ፡ ላዕሌሁ፡ አእባነ፡ ጠዋያተ፡ ወበሊኃተ፡ ወክድኖ፡ ጽልመተ፡ ወህየ፡ ይኅድር፡ ለዓለም፡ ወክድኖ፡ ለገጹ፡ ከመ፡ ኢይርአይ፡ ብርሃነ።
10:6	ወበዐባይ፡ ዕለት፡ እንተ፡ ኵነኔ፡ ከመ፡ ይትፌነው፡ ውስተ፡ ዋዕይ።
10:7	ወአሕይዋ፡ ለምድር፡ እንተ፡ አማሰኑ፡ መላእክት፡ ወሕይወታ፡ ለምድር፡ አይድዕ፡ ከመ፡ አሕይዎ፡ አሕይዋ፡ ለምድር፡ ወኢይትሀጐሉ፡ ኵሎሙ፡ ውሉደ፡ ሰብእ፡ በምሥጢረ፡ ኵሉ፡ ዘቀተሉ፡ ትጉሃን፡ ወመሀሩ፡ ለውሉዶሙ።
10:8	ወማሰነት፡ ኵላ፡ ምድር፡ በትምህርተ፡ ግብሩ፡ ለአዛዝኤል፡ ወላዕሌሁ፡ ጸሐፍ፡ ኵሎ፡ ኀጢአተ።
10:9	ወለገብርኤል፡ ይቤሎ፡ እግዚአብሔር፡ ሖር፡ ዲቤሆሙ፡ ለመንዝራን፡ ወለምኑናን፡ ወዲበ፡ ውሉደ፡ ዘማ፡ ወአህጕሎሙ፡ ለውሉደ፡ ዘማ፡ ወለውሉደ፡ ትጉሃን፡ እምሰብእ፡ ወአውፅኦሙ፡ ወፈንዎሙ፡ በበይናቲሆሙ፡ ወእሙንቱ፡ በቀትል፡ ለሊሆሙ፡ ይትሀጐሉ፡ እስመ፡ ኑኀ፡ መዋዕል፡ አልቦሙ።
10:10	ወኵሎሙ፡ ይስእሉከ፡ ወኢይከውን፡ ለአበዊሆሙ፡ በእንቲኣሆሙ፡ እስመ፡ ይሴፈዉ፡ ሕይወተ፡ ዘለዓለም፡ ወከመ፡ ይሕየዉ፡ ሕይወተ፡ አሐዱ፡ አሐዱ፡ እምኔሆሙ፡ ኀምስተ፡ ምእተ፡ ክራማተ።
10:11	ወለሚካኤል፡ ይቤሎ፡ እግዚአብሔር፡ ሑር፡ አይድዕ፡ ለስምያዛ፡ ወለካልኣን፡ እለ፡ ምስሌሁ፡ እለ፡ ኀብሩ፡ ምስለ፡ አንስት፡ ከመ፡ ይማስኑ፡ ምስሌሆን፡ በኵሉ፡ ርኵሰ፡ ዚኣሆን።
10:12	ሶበ፡ ይትራገዙ፡ ኵሉ፡ ውሉዶሙ፡ ወሶበ፡ ይሬእዩ፡ ሀጕሎሙ፡ ለፍቁራኒሆሙ፡ እስሮሙ፡ ለሰብዓ፡ ትውልድ፡ በመትሕተ፡ አውግረ፡ ምድር፡ እስከ፡ ዕለተ፡ ኵነኔሆሙ፡ ወተፍጻሜቶሙ፡ እስከ፡ ይትፌጸም፡ ኵነኔ፡ ዘለዓለመ፡ ዓለም።
10:13	ወበውእቱ፡ መዋዕል፡ ይወስድዎሙ፡ ውስተ፡ መትሕተ፡ እሳት፡ በጻዕር፡ ወበቤተ፡ ሞቅሕ፡ ይትዐጸዉ፡ ለዓለመ፡ ዓለም።
10:14	ወሶቤሃ፡ ይውዒ፡ ወይማስን፡ እምይእዜ፡ ወእስከ፡ ለዓለም፡ ምስሌሆሙ፡ ኅቡረ፡ ወይትአሰሩ፡ እስከ፡ ተፍጻሜተ፡ ትውልደ፡ ትውልድ።
10:15	ወአህጕሎሙ፡ ለኵሎሙ፡ ነፍሳተ፡ ተውኔት፡ ወለውሉዶሙኒ፡ ለትጉሃን፡ እስመ፡ ገፍዕዎሙ፡ ለሰብእ።
10:16	ወአህጕል፡ ኵሎ፡ ግፍዐ፡ እምገጸ፡ ምድር፡ ወኵሉ፡ ምግባር፡ እኩይ፡ ይኅልቅ፡ ወያስተርኢ፡ ተክለ፡ ጽድቅ፡ ወርትዕ፡ ለዓለም፡ ወይከውን፡ ለበረከት፡ ግብር፡ ጽድቅ፡ ወርትዕ፡ ለዓለም፡ በፍሥሓ፡ ይተከሉ።
10:17	ወይእዜኒ፡ ኵሎሙ፡ ጻድቃን፡ ይገንዩ፡ ወይከውኑ፡ ሕያዋነ፡ እስከ፡ ይወልዱ፡ ዐሠርተ፡ ምእት፡ ወኵሎ፡ መዋዕለ፡ ውርዙቶሙ፡ ወሰንበተ፡ ዚኣሆሙ፡ ይፌጽሙ፡ በሰላም።
10:18	ወበእማንቱ፡ መዋዕል፡ ትትገበር፡ ኵላ፡ ምድር፡ በጽድቅ፡ ወኵለንታሃ፡ ትተከል፡ ዕፀወ፡ ወትመልእ፡ በረከተ።
10:19	ወኵሎ፡ ዕፀወ፡ ሐሤት፡ ይተክሉ፡ ዲቤሃ፡ ወይተክሉ፡ ዲቤሃ፡ አውያነ፡ ወወይን፡ ዘይተከል፡ ዲቤሃ፡ ይገብር፡ ፍሬ፡ ለጽጋብ፡ ወኵሉ፡ ዘርዕ፡ ዘይዘራዕ፡ ዲቤሃ፡ ወአሐቲ፡ መስፈርት፡ ትገብር፡ እልፈ፡ ወአሐቲ፡ መስፈርተ፡ ኤልያስ፡ ትገብር፡ ዐሠርተ፡ ምክያዳተ፡ ዘይት።
10:20	ወአንተ፡ አንጽሓ፡ ለምድር፡ እምኵሉ፡ ግፍዕ፡ ወእምኵሉ፡ ዐመፃ፡ ወእምኵሉ፡ ኀጢአት፡ ወእምኵሉ፡ ረሲዕ፡ ወእምኵሉ፡ ርኵስ፡ ዘይትገበር፡ በዲበ፡ ምድር፡ ወአኅልቆሙ፡ እምዲበ፡ ምድር።
10:21	ወይኩኑ፡ ኵሎሙ፡ ውሉደ፡ ሰብእ፡ ጻድቃነ፡ ወይኩኑ፡ ኵሎሙ፡ አሕዛብ፡ ያምልኩ፡ ወይባርኩ፡ ኪያየ፡ ወኵሎሙ፡ ሊተ፡ ይሰግዱ።
10:22	ወትነጽሕ፡ ምድር፡ እምኵሉ፡ ሙስና፡ ወእምኵሉ፡ ኀጢአት፡ ወእምኵሉ፡ መቅሠፍት፡ ወእምኵሉ፡ ጻዕር፡ ወኢይደግም፡ እንከ፡ እፈኑ፡ ዲቤሃ፡ አይኀ፡ ለትውልደ፡ ትውልድ፡ ወእስከ፡ ለዓለም።
11:1	ወበእማንቱ፡ መዋዕል፡ እፈትሕ፡ መዛግብተ፡ በረከት፡ እለ፡ በሰማያት፡ ከመ፡ አውርዶሙ፡ ዲበ፡ ምድር፡ ዲበ፡ ግብሮሙ፡ ወዲበ፡ ጻማሆሙ፡ ለውሉደ፡ ሰብእ።
11:2	ሰላም፡ ወርትዕ፡ ሱቱፋነ፡ ይከውኑ፡ በኵሉ፡ መዋዕለ፡ ዓለም፡ ወበኵሉ፡ ትውልደ፡ ዓለም።
12:1	እምቅድመ፡ ኵሉ፡ ነገር፡ ተከብተ፡ ሄኖክ፡ ወአልቦ፡ ዘየአምር፡ እምውሉደ፡ ሰብእ፡ በኀበ፡ ተከብተ፡ ወኀበ፡ ሀሎ፡ ወምንተ፡ ኮነ።
12:2	ወኵሉ፡ ግብሩ፡ ምስለ፡ ቅዱሳን፡ ወምስለ፡ ትጉሃን፡ በመዋዕለ፡ ዚኣሁ።
12:3	ወአነ፡ ሄኖክ፡ ኮንኩ፡ እባርኮ፡ ለእግዚእ፡ ዐቢይ፡ ወለንጉሠ፡ ዓለም፡ ወናሁ፡ ትጉሃን፡ ይጼውዑኒ፡ ሊተ፡ ለሄኖክ፡ ጸሓፊ፡ ወይቤሉኒ።
12:4	ሄኖክ፡ ጸሓፌ፡ ጽድቅ፡ ሑር፡ አይድዕ፡ ለትጉሃነ፡ ሰማይ፡ እለ፡ ኀደጉ፡ ሰማየ፡ ልዑለ፡ ወምቅዋመ፡ ቅዱሰ፡ ዘለዓለም፡ ወምስለ፡ አንስት፡ ማሰኑ፡ ወገብሩ፡ ዘከመ፡ ይገብሩ፡ ውሉደ፡ ሰብእ፡ ወነሥኡ፡ ሎሙ፡ አንስተ፡ ወማሰኑ፡ ዐቢየ፡ ሙስና፡ በዲበ፡ ምድር።
12:5	ወኢይከውን፡ ሎሙ፡ በዲበ፡ ምድር፡ ሰላም፡ ወኅድገተ፡ ኀጢአት።
12:6	እስመ፡ ይትፌሥሑ፡ በውሉዶሙ፡ ቀትለ፡ ፍቁራኒሆሙ፡ ይሬእዩ፡ ወዲበ፡ ሀጕለ፡ ውሉዶሙ፡ ይግዕሩ፡ ወይስእሉ፡ ለዓለም፡ ወኢይከውን፡ ሎሙ፡ ምሕረት፡ ወኢ፡ ሰላም።
13:1	ወሄኖክ፡ ኀሊፎ፡ ይቤሎ፡ ለአዛዝኤል፡ ኢይከውነከ፡ ሰላም፡ ዐቢይ፡ ኵነኔ፡ ወፅአ፡ ላዕሌከ፡ ይስዕርከ።
13:2	ወሳሕት፡ ወስእለት፡ ወምሕረት፡ ኢይከውነከ፡ በእንተ፡ ዘመሀርከ፡ ግፍዐ፡ ወበእንተ፡ ኵሉ፡ ምግባረ፡ ፅርፈት፡ ወግፍዕ፡ ወኀጢአት፡ ዘአርአይከ፡ ለውሉደ፡ ሰብእ።
13:3	አሜሃ፡ ሐዊርየ፡ ነገርክዎሙ፡ ለኵሎሙ፡ ኅቡረ፡ ወእሙንቱ፡ ፈርሁ፡ ኵሎሙ፡ ወፍርሀት፡ ወረዓድ፡ ነሥኦሙ።
13:4	ወተስእሉኒ፡ ተዝካረ፡ ስእለቶሙ፡ ከመ፡ እጽሐፍ፡ ሎሙ፡ ከመ፡ ይኩኖሙ፡ ኅድገተ፡ ወከመ፡ አነ፡ ኣዕርግ፡ ተዝካረ፡ ስእለቶሙ፡ ኀበ፡ እግዚአብሔር፡ ሰማየ።
