13:1	ΚΑΙ ἦν ἀνὴρ οἰκῶν ἐν Βαβυλῶνι, καὶ ὄνομα αὐτῷ Ἰωακείμ.
13:38	καὶ αὐτοὶ οὐκ ᾔδεισαν ὅτι εἱστήκειμεν. τότε συνειπάμεθα ἀλλήλοις λέγοντες Μάθωμεν τίνες εἰσὶν οὗτοι.
13:39	καὶ προσελθόντες ἐπέγνωμεν αὐτήν· ὁ δὲ νεανίσκος ἔφυγε συγκεκαλυμμένος.
13:40	ταύτης δὲ ἐπιλαβόμενοι ἐπηρωτῶμεν αὐτήν Τίς ὁ ἄνθρωπος;
13:41	καὶ οὐκ ἀπήγγειλεν ἡμῖν τίς ἦν. ταῦτα μαρτυροῦμεν. καὶ ἐπίστευσεν αὐτοῖς ἡ συναγωγὴ πᾶσα, ὡς πρεσβυτέρων ὄντων καὶ κριτῶν τοῦ λαοῦ.
13:44	Καὶ ἰδοὺ ἄγγελος Κυρίου, ἐκείνης ἐξαγομένης ἀπολέσθαι· καὶ ἔδωκεν ὁ ἄγγελος, καθὼς προσετάγη, πνεῦμα συνέσεως νεωτέρῳ ὄντι Δανιήλ.
13:48	διαστείλας δὲ Δανιὴλ τὸν ὄχλον καὶ στὰς ἐν μέσῳ αὐτῶν εἶπεν Οὕτως μωροί, υἱοὶ Ἰσραήλ; οὐκ ἀνακρίναντες οὐδὲ τὸ σαφὲς ἐπιγνόντες ἀπεκτείνατε θυγατέρα Ἰσραήλ;
13:51	καὶ νῦν διαχωρίσατέ μοι αὐτοὺς ἀπ᾽ ἀλλήλων μακράν, ἵνα ἐτάσω αὐτούς. [1] ὡς δὲ διεχωρίσθησαν, εἶπεν Δανιὴλ τῇ συναγωγῇ Νῦν μὴ βλέψητε ὅτι οὗτοί εἰσι πρεσβύτεροι, λέγοντες Οὐ μὴ ψεύσωνται· ἀλλὰ ἀνακρινῶ αὐτοὺς κατὰ τὰ ὑποπίπτοντά μοι.
13:52	καὶ ἐκάλεσε τὸν ἕνα αὐτῶν, καὶ προσήγαγον τὸν πρεσβύτερον τῷ νεωτέρῳ· καὶ εἶπεν αὐτῷ Δανιήλ Ἄκουε ἄκουε, πεπαλαιωμένε ἡμερῶν κακῶν· νῦν ἥκασί σου αἱ ἁμαρτίαι ἃς ἐποίεις τὸ πρότερον,
13:53	πιστευθεὶς ἀκούειν καὶ κρίνειν κρίσεις θάνατον ἐπιφερούσας, καὶ τὸν μὲν ἀθῷον κατέκρινας, τοὺς δὲ ἐνόχους ἠφίεις, τοῦ κυρίου λέγοντος Ἀθῷον καὶ δίκαιον οὐκ ἀποκτενεῖς.
13:54	νῦν οὖν ὑπὸ τί δένδρον καὶ ποταπῷ τοῦ παραδείσου τόπῳ ἑώρακας αὐτοὺς ὄντας σὺν ἑαυτοῖς; καὶ εἶπεν ὁ ἀσεβής Ὑπὸ σχῖνον.
13:55	εἶπεν δὲ ὁ νεώτερος Ὀρθῶς ἔψευσαι εἰς τὴν σεαυτοῦ ψυχήν· ὁ γὰρ ἄγγελος Κυρίου σχίσει σου τὴν ψυχὴν σήμερον.
13:56	καὶ τοῦτον μεταστήσας εἶπεν προσαγαγεῖν αὐτῷ τὸν ἕτερον· καὶ τούτῳ δὲ εἶπεν Διὰ τί διεστραμμένον τὸ σπέρμα σου, ὡς Σιδῶνος καὶ οὐχ ὡς Ἰούδα; τὸ κάλλος σε ἠπάτησεν, ἡ μικρὰ ἐπιθυμία.
13:57	καὶ οὕτως ἐποιεῖτε θυγατράσιν Ἰσραήλ, καὶ ἐκεῖναι φοβούμεναι ὡμιλοῦσαν ὑμῖν· ἀλλ᾽ οὐ θυγάτηρ Ἰούδα ὑπέμεινε τὴν νόσον ὑμῶν ἐν ἀνομίᾳ ὑπενεγκεῖν.
13:58	νῦν οὖν λέγε μοι Ὑπὸ τί δένδρον καὶ ἐν ποίῳ τοῦ κήπου τόπῳ κατέλαβες αὐτοὺς ὁμιλοῦντας ἀλλήλοις; ὁ δὲ εἶπεν Ὑπὸ πρῖνον.
13:59	καὶ εἶπεν Δανιήλ Ἁμαρτωλέ, νῦν ὁ ἄγγελος Κυρίου τὴν ῥομφαίαν ἕστηκεν ἔχων, ἕως ὁ λαὸς ἑξολεθρεύσει ὑμᾶς, ἵνα καταπρίσῃ σε.
13:60	Καὶ πᾶσα ἡ συναγωγὴ ἀνεβόησεν ἐπὶ τῷ νεωτέρῳ, ὡς ἐκ τοῦ ἰδίου στόματος ὁμολόγους αὐτοὺς κατέστησεν ἀμφοτέρους ψευδομάρτυρας· καὶ ὡς ὁ νόμος διαγορεύει ἐποίησαν αὐτοῖς, καθὼς ἐπονηρεύσαντο κατὰ τῆς ἀδελφῆς. καὶ ἐφίμωσαν αὐτοὺς καὶ ἐξαγαγόντες ἔρριψαν εἰς φάραγγα· τότε ὁ ἄγγελος Κυρίου ἔρριψε πῦρ διὰ μέσου αὐτῶν. καὶ ἐσώθη αἷμα ἀναίτιον ἐν τῇ ἡμέρᾳ ἐκείνῃ. [1] Διὰ τοῦτο οἱ νεώτεροι ἀγαπητοὶ Ἰακὼβ ἐν τῇ ἁπλότητι αὐτῶν. [2] καὶ ἡμεῖς φυλασσώμεθα εἰς υἱοὺς δυνατοὺς νεωτέρους· εὐσεβήσουσι γὰρ νεώτεροι, καὶ ἔσται ἐν αὐτοῖς πνεῦμα ἐπιστήμης καὶ συνέσεως εἰς αἰῶνα αἰῶνος.
14:1	Ἐκ προφητείας Ἁμβακοὺμ υἱοῦ Ἰησοῦ, ἐκ τῆς φυλῆς Λευί.
14:2	Ἄνθρωπός τις ἦν ἱερεύς, ᾧ ὄνομα Δανιήλ, υἱὸς Ἁβάλ, συμβιωτὴς τοῦ βασιλέως Βαβυλῶνος.
14:3	καὶ ἦν εἴδωλον, Βήλ, ὃ ἐσέβοντο οἱ Βαβυλώνιοι· ἀνηλίσκετο δὲ αὐτῷ καθ᾽ ἑκάστην ἡμέραν σεμιδάλεως ἀρτάβαι δέκα δύο καὶ πρόβατα τέσσαρα καὶ ἐλαίου μετρηταὶ ἕξ.
14:4	καὶ ὁ βασιλεὺς ἐσέβετο αὐτόν, καὶ ἐπορεύετο ὁ βασιλεὺς καθ᾽ ἑκάστην ἡμέραν καὶ προσεκύνει αὐτῷ, Δανιὴλ δὲ προσηύχετο πρὸς Κύριον· καὶ εἶπεν ὁ βασιλεὺς τῷ Δανιήλ Διὰ τί οὐ προσκυνεῖς τῷ Βήλ;
14:5	καὶ εἶπε Δανιὴλ πρὸς τὸν βασιλέα Οὐδένα σέβομαι ἐγὼ εἰ μὴ Κύριον τὸν θεὸν τὸν κτίσαντα τὸν οὐρανὸν καὶ τὴν γῆν καὶ ἔχοντα πάσης σαρκὸς κυρείαν.
14:6	εἶπεν δὲ ὁ βασιλεὺς αὐτῷ Οὗτος οὖν οὐκ ἔστι θεός; οὐχ ὁρᾷς ὅσα εἰς αὐτὸν δαπανᾶται καθ᾽ ἑκάστην ἡμέραν;
14:7	καὶ εἶπεν αὐτῷ Δανιήλ Μηδαμῶς, μηδείς σε παραλογιζέσθω· οὗτος γὰρ ἔσωθεν μὲν πήλινός ἐστιν, ἔξωθεν δὲ χαλκοῦς· ὀμνύω δέ σοι Κύριον τὸν θεὸν τῶν θεῶν, ὅτι οὐθὲν βέβρωκε πώποτε οὗτος.
14:8	καὶ θυμωθεὶς ὁ βασιλεὺς ἐκάλεσε τοὺς προεστηκότας τοῦ ἱεροῦ καὶ εἶπεν αὐτοῖς Παραδείξατε τὸν ἐσθίοντα τὰ παρασκευαζόμενα τῷ Βήλ· εἰ δὲ μή γε, ἀποθανεῖσθε,
14:9	ἢ Δανιὴλ ὁ φάσκων μὴ ἐσθίεσθαι αὐτὰ ὑπ᾽ αὐτοῦ. οἱ δὲ εἶπαν Αὐτὸς ὁ Βήλ ἐστιν ὁ κατεσθίων αὐτά· εἶπε δὲ Δανιὴλ πρὸς τὸν βασιλέα Γινέσθω οὕτως· ἐὰν μὴ παραδείξω ὅτι οὐκ ἔστιν ὁ Βὴλ ὁ κατεσθίων ταῦτα, ἀποθανοῦμαι καὶ πάντες οἱ παρ᾽ ἐμοῦ.
14:10	ἦσαν δὲ τῷ Βὴλ ἱερεῖς ἑβδομήκοντα χωρὶς γυναικῶν καὶ τέκνων. ἤγαγον δὲ τὸν βασιλέα εἰς τὸ εἰδώλιον·
14:11	καὶ παρετέθη τὰ βρώματα ἐνώπιον τοῦ βασιλέως καὶ τοῦ Δανιήλ, καὶ οἶνος κερασθεὶς εἰσηνέχθη καὶ παρετέθη τῷ Βήλ. καὶ εἶπεν Δανιήλ Σὺ αὐτὸς ὁρᾷς ὅτι κεῖται ταῦτα, βασιλεῦ· σὺ οὖν ἐπισφράγισαι τὰς κλεῖδας τοῦ ναοῦ, ἐπὰν κλεισθῇ. ἤρεσεν δὲ ὁ λόγος τῷ βασιλεῖ.
14:14	ὁ δὲ Δανιὴλ ἐκέλευσε τοὺς παρ᾽ αὐτοῦ ἐκβαλόντας πάντας ἐκ τοῦ ναοῦ κατασῆσαι ὅλον τὸν ναὸν σποδῷ, οὐθενὸς τῶν ἐκτὸς αὐτοῦ εἰδότος. καὶ τότε σφραγισάμενος τὸν ναὸν ἐκέλευσε σφραγίσαι τῷ τοῦ βασιλέως δακτυλίῳ καὶ τοῖς δακτυλίοις τινῶν ἐνδόξων ἱερέων· καὶ ἐγένετο οὕτως.
14:15	καὶ ἐγένετο τῇ ἐπαύριον παρεγένοντο ἐπὶ τὸν τόπον· οἱ δὲ ἱερεῖς τοῦ Βὴλ διὰ ψευδοθυρίδων εἰσελθόντες κατεφάγοσαν πάντα τὰ παρακείμενα τῷ Βὴλ καὶ ἐξέπιον τὸν οἶνον. καὶ εἶπεν Δανιήλ Ἐπίδετε τὰς σφραγῖδας ὑμῶν εἰ μένουσιν, ἄνδρες ἱερεῖς· καὶ σὺ δέ, βασιλεῦ, σκέψαι μή τί σοι ἀσύμφωνον γεγένηται. καὶ εὗρον ὡς ἦν ἡ σφραγίς, καὶ ἀπέβαλον τὴν σφραγῖδα.
14:18	καὶ ἀνοίξαντες τὰς θύρας εἴδοσαν δεδαπανημένα πάντα τὰ παρατεθέντα, καὶ τὰς τραπέζας κενάς· καὶ ἐχάρη ὁ βασιλεύς, καὶ εἶπεν πρὸς τὸν Δανιήλ Μέγας ἐστὶν ὁ Βήλ, καὶ οὐκ ἔστι παρ᾽ αὐτῷ δόλος.
14:19	καὶ ἐγέλασε Δανιὴλ σφόδρα καὶ εἶπεν τῷ βασιλεῖ Δεῦρο ἴδε τὸν δόλον τῶν ἱερέων. καὶ εἶπεν Δανιήλ Βασιλεῦ, ταῦτα τὰ ἴχνη τίνος ἐστί;
14:20	καὶ εἶπεν ὁ βασιλεύς Ἀνδρῶν καὶ γυναικῶν καὶ παιδίων.
14:21	καὶ ἐπῆλθεν ἐπὶ τὸν οἶκον ἐν ᾧ ἦσαν οἱ ἱερεῖς καταγινόμενοι, καὶ εὗρε τὰ βρώματα τοῦ Βὴλ καὶ τὸν οἶνον· καὶ ἐπέδειξε Δανιὴλ τῷ βασιλεῖ τὰ ψευδοθύρια, δι᾽ ὧν εἰσπορευόμενοι οἱ ἱερεῖς ἐδαπάνων τὰ παρατιθέμενα τῷ Βήλ.
14:22	καὶ ἐξήγαγεν αὐτοὺς ὁ βασιλεὺς ἐκ τοῦ Βηλίου, καὶ παρέδωκεν αὐτοὺς τῷ Δανιήλ· καὶ τὴν δαπάνην τὴν εἰς αὐτὸν ἔδωκε τῷ Δανιήλ, τὸν δὲ Βὴλ κατέστρεψε.
14:23	Καὶ ἦν δράκων ἐν τῷ αὐτῷ τόπῳ, καὶ ἐσέβοντο οἱ Βαβυλώνιοι.
14:24	καὶ εἷπεν ὁ βασιλεὺς τῷ Δανιήλ Μὴ καὶ τοῦτον ἐρεῖς ὅτι χαλκοῦς ἐστιν; ἰδοὺ ζῇ καὶ ἐσθίει καὶ πίνει, προσκύνησον αὐτῷ.
14:26	καὶ εἶπεν Δανιήλ Βασιλεῦ, δός μοι τὴν ἐξουσίαν, καὶ ἀνελῶ τὸν δράκοντα ἄνευ σιδήρου καὶ ῥάβδου. καὶ συνεχώρησεν αὐτῷ ὁ βασιλεὺς καὶ εἶπεν αὐτῷ Δέδοταί σοι.
14:27	καὶ λαβὼν ὁ Δανιὴλ πίσσης μνᾶς τριάκοντα καὶ στέαρ καὶ τρίχας ἥψησεν ἐπὶ τὸ αὐτὸ καὶ ἐποίησεν μάζαν, καὶ ἐνέβαλεν εἰς τὸ στόμα τοῦ δράκοντος· καὶ φαγὼν διερράγη. καὶ ἔδειξεν αὐτὸν τῷ βασιλεῖ λέγων Οὐ ταῦτα σέβεσθε, βασιλεῦ;
14:28	καὶ συνήχθησαν οἱ ἀπὸ τῆς χώρας πάντες ἐπὶ τὸν Δανιὴλ καὶ εἶπαν Ἰουδαῖος γέγονεν ὁ βασιλεύς· τὸν Βὴλ κατέστρεψε καὶ τὸν δράκοντα ἀπέκτεινε.
14:30	καὶ ἰδὼν ὁ βασιλεὺς ὅτι ἐπισυνήχθη ὁ ὄχλος τῆς χώρας ἐπ᾽ αὐτόν, ἐκάλεσε τοὺς συμβιωτὰς αὐτοῦ καὶ εἶπεν Δίδωμι τὸν Δανιὴλ εἰς ἀπώλειαν.
14:31	ἦν δὲ λάκκος ἐν ᾧ ἐτρέφοντο λέοντες ἑπτά, οἷς παρεδίδοντο οἱ ἐπίβουλοι τοῦ βασιλέως, καὶ ἐχορηγεῖτο αὐτοῖς καθ᾽ ἑκάστην ἡμέραν τῶν ἐπιθανατίων σώματα δύο. καὶ ἐνεβάλοσαν τὸν Δανιὴλ οἱ ὄχλοι εἰς ἐκεῖνον τὸν λάκκον, ἵνα καταβρωθῇ καὶ μηδὲ ταφῆς τύχῃ. καὶ ἦν ἐν τῷ λάκκῳ Δανιὴλ ἡμέρας ἕξ.
14:33	καὶ ἐγένετο τῇ ἡμέρᾳ τῇ ἕκτῃ καὶ ἦν Ἁμβακοὺμ ἔχων ἄρτους ἐντεθρυμμένους ἐν σκάφῃ ἐν ἑψήματι καὶ στάμνον οἴνου κεκερασμένου, καὶ ἐπορεύετο εἰς τὸ πεδίον πρὸς τοὺς θεριστάς.
14:34	καὶ ἐλάλησεν ἄγγελος Κυρίου πρὸς Ἁμβακοὺμ λέγων Τάδε λέγει σοι Κύριος ὁ θεός Τὸ ἄριστον ὃ ἔχεις ἀπένεγκε Δανιὴλ εἰς τὸν λάκκον τῶν λεόντων ἐν Βαβυλῶνι.
14:35	καὶ εἶπεν Ἁμβακούμ Κύριε ὁ θεός, οὐχ ἑώρακα τὴν Βαβυλῶνα, καὶ τὸν λάκκον οὐ γινώσκω ποῦ ἐστι.
14:36	καὶ ἐπιλαβόμενος αὐτοῦ ὁ ἄγγελος Κυρίου τοῦ Ἁμβακοὺμ τῆς κόμης αὐτοῦ τῆς κεφαλῆς ἔθηκεν αὐτὸν ἐπάνω τοῦ λάκκου τοῦ ἐν Βαβυλῶνι.
14:37	καὶ εἶπεν Ἁμβακοὺμ πρὸς Δανιήλ Ἀναστὰς φάγε τὸ ἄριστον ὃ ἀπέστειλέ σοι Κύριος ὁ θεός.
14:38	καὶ εἶπεν Δανιήλ Ἐμνήσθη γάρ μου Κύριος ὁ θεὸς ὁ μὴ ἐγκαταλείπων τοὺς ἀγαπῶντας αὐτόν.
14:39	καὶ ἔφαγε Δανιήλ· ὁ δὲ ἄγγελος Κυρίου κατέστησε τὸν Ἁμβακοὺμ ὅθεν αὐτὸν ἔλαβε τῇ αὐτῇ ἡμέρᾳ. ὁ δὲ κύριος ὁ θεὸς ἐμνήσθη τοῦ Δανιήλ.
14:40	ἐξῆλθε δὲ ὁ βασιλεὺς μετὰ ταῦτα πενθῶν τὸν Δανιήλ, καὶ ἐγκύψας εἰς τὸν λάκκον ὁρᾷ αὐτὸν καθήμενον.
14:41	καὶ ἀναβοήσας εἶπεν ὁ βασιλεύς Μέγας ἐστὶ Κύριος ὁ θεός, καὶ οὐκ ἔστι πλὴν αὐτοῦ ἄλλος.
14:42	καὶ ἐξήγαγεν ὁ βασιλεὺς τὸν Δανιὴλ ἐκ τοῦ λάκκου, καὶ τοὺς αἰτίους τῆς ἀπωλείας αὐτοῦ ἐνέβαλεν εἰς τὸν λάκκον ἐνώπιον τοῦ Δανιήλ, καὶ κατεβρώθησαν.
