Title:1	ΤΑ ΠΑΡΑΛΕΙΠΟΜΕΝΑ ΙΕΡΕΜΙΟΥ ΤΟΥ ΠΡΟΦΗΤΟΥ
4:4	Ἰερεμίας δὲ ἄρας τὰς κλεῖδας τοῦ ναοῦ, ἐξῆλθεν ἔξω τῆς πόλεως, καὶ ἔρριψεν αὐτὰς ἐνώπιον τοῦ ἡλίου, λέγων· Σοὶ λέγω, ἥλιε, λάβε τὰς κλεῖδας τοῦ ναοῦ τοῦ θεοῦ, καὶ φύλαξον αὐτὰς ἕως ἡμέρας, ἐν ᾗ ἐξετάσει σε κύριος περὶ αὐτῶν.
4:5	διότι ἡμεῖς οὐχ εὐρέθημεν ἄξιοι τοῦ φυλάξαι αὐτάς, ὅτι ἐπίτροποι τοῦ ψεύδους ἐγενήθημεν.
4:6	ἔτι κλαίοντος Ἰερεμίου τὸν λαόν, ἐξένεγκαν αὐτὸν μετὰ τοῦ λαοῦ ἕλκοντες εἰς Βαβυλῶνα.
4:7	ὁ δὲ Βαροὺχ ἐπέθηκε χοῦν ἐπὶ τὴν κεφαλὴν αὐτοῦ, καὶ ἐκάθισε, καὶ ἔκλαυσε τὸν θρῆνον τοῦτον, λέγων· Διὰ τί ἠρημώθη Ἰερουσαλήμ; Διὰ τὰς ἁμαρτίας τοῦ ἡγαπημένου λαοῦ παρεδόθη εἰς χεῖρας ἐχθρῶν, διὰ τὰς ἁμαρτίας ἡμῶν καὶ τοῦ λαοῦ.
4:8	ἀλλὰ μὴ καυχάσθωσαν οἱ παράνομοι, καὶ εἴπωσιν ὅτι, Ἰσχύσαμεν λαβεῖν τὴν πόλιν τοῦ θεοῦ ἐν τῇ δυνάμει ἡμῶν· ἀλλὰ διὰ τὰς ἁμαρτίας ἡμῶν παρεδόθη ὑμῖν.
4:9	ὁ δὲ θεὸς ἡμῶν οἰκτειρήσει ἡμᾶς, καὶ ἐπιστρέψει ἡμᾶς εἰς τὴν πόλιν ἡμῶν· ὑμεῖς δὲ ζωὴ οὐχ ἕξετε.
4:10	μακάριοι εἰσιν οἱ πατέρες ἡμῶν, Ἀβραάμ, Ἰσαὰκ καὶ Ἰακώβ, ὅτι ἐξῆλθον ἐκ τοῦ κόσμου τούτου, καὶ οὐκ εἶδον τὸν ἀφανισμὸν τῆς πόλεως ταύτης.
4:11	ταῦτα εἰπὼν Βαροὺχ ἐξῆλθεν ἔξω τῆς πόλεως κλαίων καὶ λέγων ὅτι Λυπούμενος διὰ σέ, Ἰερουσαλήμ, ἐξῆλθον ἀπὸ σοῦ.
4:12	καὶ ἔμεινεν ἐν μνημείῳ καθεζόμενος, τῶν ἀγγέλων ἐρχομένων πρὸς αὐτόν, καὶ ἐκδιηγουμένων αὐτῷ περὶ πάντων ὧν ὁ κύριος ἔμηνυεν αὐτῷ δι᾽ αὐτῶν.
5:1	Ὁ δὲ Ἀβιμέλεχ ἤνεγκε τὰ σῦκα τῷ καύματι, καὶ καταλαβὼν δένδρον, ἐκάθισεν ὑπὸ τὴν σκιὰν αὐτοῦ τοῦ ἀναπαῆναι ὀλίγον.
5:2	καὶ κλίνας τὴν κεφαλὴν αὐτοῦ ἐπὶ τὸν κόφινον τῶν σύκων ὕπνωσεν κοιμώμενος ἔτη ἑξηκονταέξ· καὶ οὐκ ἐξυπνίσθη ἐκ τοῦ ὕπνου αὐτοῦ.
5:3	καὶ μετὰ ταῦτα ἐγερθεὶς ἀπὸ τοῦ ὕπνου αὐτοῦ, εἶπεν ὅτι, Ἡδέως ἐκοιμήθην ὀλίγον, ἀλλὰ βεβαρημένη ἐστὶν ἡ κεφαλή μου, ὅτι οὐκ ἐκορέσθην τοῦ ὕπνου μου.
5:4	εἶτα ἀνακαλύψας τὸν κόφινον τῶν σύκων, εὗρεν αὐτὰ στάζοντα γάλα.
5:5	καὶ εἶπεν· Ἤθελον κοιμηθῆναι ἔτι ὀλίγον, ὅτι βεβαρημένη ἐστὶν ἡ κεφαλή μου· ἀλλὰ φοβοῦμαι, μήπως κοιμηθῶ καὶ βραδυνῶ τοῦ ἐξυπνισθῆναι, καὶ ὀλιγωρήσῃ Ἰερεμίας ὁ πατήρ μου· εἰ μὴ γὰρ ἐσπούδαζεν, οὐκ ἂν ἀπέστειλέ με ὄρθρου σήμερον.
5:6	ἀναστὰς οὖν πορεύσομαι τῷ καύματι· οὐ γὰρ καῦμα οὐ κόπος ἐστὶ καθ᾽ ἡμέραν;
5:7	ἐγερθεὶς οὖν ἦρε τὸν κόφινον τῶν σύκων, καὶ ἐπέθηκεν ἐπὶ τῶν ὤμων αὐτοῦ· καὶ εἰσῆλθεν εἰς Ἰερουσαλήμ, καὶ οὐκ ἐπέγνω αὐτήν, οὔτε τὴν οἰκίαν οὔτε τὸν τόπον ἑαυτοῦ, οὔτε τὸ γένος ἑαυτοῦ οὔτέ τινα τῶν γνωρίμων εὗρεν.
5:8	καὶ εἶπεν· Εὐλογητὸς κύριος, ὅτι μεγάλη ἔκστασις ἐπέπεσεν ἐπ᾽ ἐμὲ σήμερον.
5:9	οὐκ ἔστιν αὕτη ἡ πόλις Ἰερουσαλήμ· πεπλάνημαι τὴν ὁδόν, ὅτι διὰ τῆς ὁδοῦ τοῦ ὄρους ἦλθον, ἐγερθεὶς ἀπὸ τοῦ ὕπνου μου· καὶ βαρείας οὔσης τῆς κεφαλῆς μου διὰ τὸ μὴ κορεσθῆναί με τοῦ ὕπνου πεπλάνημαι τὴν ὁδόν.
5:10	θαυμαστὸν εἰπεῖν τοῦτο ἐναντίον Ἰερεμίου, ὅτι πεπλάνημαι τὴν ὁδόν.
5:11	ἐξῆλθε δὲ ἀπὸ τῆς πόλεως· καὶ κατανοήσας εἶδε τὰ σημεῖα τῆς πόλεως, καὶ εἶπεν· Αὕτη μὲν ἔστιν ἡ πόλις, πεπλάνημαι δὲ τὴν ὁδόν.
5:12	καὶ πάλιν ὑπέστρεψεν εἰς τὴν πόλιν, καὶ ἐζήτησε, καὶ οὐδένα εὗρε τῶν ἰδίων, καὶ εἶπεν· Εὐλογητὸς κύριος, ὅτι μεγάλη ἔκστασις ἐπέπεσεν ἐπ᾽ ἐμέ.
5:13	καὶ πάλιν ἐξῆλθεν ἔξω τῆς πόλεως, καὶ ἔμεινε λυπούμενος, μὴ εἰδὼς ποῦ ἀπέλθῃ.
5:14	καὶ ἀπέθηκε τὸν κόφινον, λέγων· Καθέζομαι ὧδε ἕως ὁ κύριος ἄρῃ τὴν ἔκστασιν ταύτην ἀπ᾽ ἐμοῦ.
5:15	καθημένου δὲ αὐτοὺ, εἶδέ τινα γηραιὸν ἐρχόμενον ἐξ ἀγροῦ, καὶ λέγει αὐτῷ Ἀβιμέλεχ· Σοὶ λέγω, πρεσβῦτα, ποία ἐστὶν ἡ πόλις αὕτη;
5:16	καὶ εἶπεν αὐτῷ· Ἰερουσαλήμ ἐστι.
5:17	καὶ λέγει αὐτῷ Ἀβιμέλεχ· Ποῦ ἔστιν ὁ Ἰερεμίας ὁ ἱερεύς, καὶ Βαροὺχ ὁ ἀναγνώστης, καὶ πᾶς ὁ λαὸς τῆς πόλεως ταύτης, ὅτι οὐκ εὗρον αὐτούς;
5:18	καὶ εἶπεν αὐτῷ ὁ πρεσβύτης· Οὐκ εἶ ἐκ τῆς πόλεως ταύτης, σήμερον μνησθεὶς τοῦ Ἰερεμίου, ὅτι ἐπερωτᾷς περὶ αὐτοῦ μετὰ τοσοῦτον χρόνον;
5:19	Ἰερεμίας γὰρ ἐν Βαβυλῶνί ἐστι μετὰ τοῦ λαοῦ· ᾐχμαλωτεύθησαν γὰρ ὑπὸ Ναβουχοδονόσορ τοῦ βασιλέως, καὶ μετ᾽ αὐτῶν ἐστιν Ἰερεμίας εὐαγγελίσασθαι αὐτοῖς καὶ κατηχῆσαι αὐτοὺς τὸν λόγον.
5:20	εὐθὺς δὲ ἀκούσας Ἀβιμέλεχ παρὰ τοῦ γηραιοῦ ἀνθρώπου, εἶπεν· Εἰ μὴ ἦς πρεσβύτης, καὶ ὅτι οὐκ ἐξὸν ἀνθρώπῳ ὑβρίσαι τὸν μείζονα αὐτοῦ, ἐπικατεγέλων ἄν σοι καὶ ἔλεγον ὅτι μαίνῃ· ὅτι εἶπας, Ἠͺχμαλωτεύθη ὁ λαὸς εἰς Βαβυλῶνα.
5:21	εἰ ἦσαν οἱ καταρράκται τοῦ οὐρανοῦ κατελθόντες ἐπ᾽ αὐτούς, οὔπω ἐστὶ καιρὸς ἀπελθεῖν εἰς Βαβυλῶνα.
5:22	πόση γὰρ ὥρα ἐστίν, ἀφ᾽ οὗ ἀπέστειλέ με ὁ πατήρ μου Ἰερεμίας εἰς τὸ χωρίον τοῦ Ἀγρίππα ἐνέγκαι ὀλίγα σῦκα, ἵνα δίδωμεν τοῖς νοσοῦσι τοῦ λαοῦ;
5:23	καὶ ἀπελθὼν ἤνεγκον αὐτά, καὶ ἐλθὼν ἐπί τι δένδρον τῷ καύματι, ἐκάθισα τοῦ ἀναπαῆναι ὀλίγον, καὶ ἔκλινα τὴν κεφαλήν μου ἐπὶ τὸν κόφινον, καὶ ἐκοιμήθην.
5:24	καὶ ἐξυπνισθεὶς ἀπεκάλυψα τὸν κόφινον τῶν σύκων, νομίζων ὅτι ἐβράδυνα, καὶ εὗρον τὰ σῦκα στάζοντα γάλα, καθὼς συνέλεξα αὐτά.
5:25	σὺ δὲ λέγεις, ὅτι ᾐχμαλωτεύθη ὁ λαὸς εἰς Βαβυλῶνα.
5:26	ἵνα δὲ γνῷς, λάβε, ἴδε τὰ σῦκα.
5:27	καὶ ἀνεκάλυψε τὸν κόφινον τῶν σύκων τῷ γέροντι, καὶ εἶδεν αὐτὰ στάζοντα γάλα.
5:28	ἰδὼν δὲ αὐτὰ ὁ γηραιὸς ἄνθρωπος, εἶπεν· Ὦ υἱέ μου, δίκαιος ἄνθρωπος εἶ σύ, καὶ οὐκ ἠθέλησεν ὁ θεὸς ἰδεῖν σε τὴν ἐρήμωσιν τῆς πόλεως· ἤνεγκε γὰρ ταύτην τὴν ἔκστασιν ἐπὶ σέ.
5:29	ἰδοὺ γὰρ ἑξήκοντα καὶ ἓξ ἔτη σήμερόν εἰσιν ἀφ᾽ οὗ ᾐχμαλωτεύθη ὁ λαός εἰς Βαβυλῶνα.
5:30	καὶ ἵνα μάθῃς, τέκνον, ὅτι ἀληθές ἐστιν ἅπερ λέγω σοι ἀνάβλεψον εἰς τὸν ἀγρὸν καὶ ἴδε, ὅτι οὐκ ἐστι ἐφάνη ἡ αὔξησις τῶν γενημάτων.
5:31	ἴδε καὶ τὰ σῦκα, ὅτι καιρὸς αὐτῶν οὐκ ἔστι, καὶ γνῶθι.
5:32	τότε ἔκραξε μεγάλῃ φωνῇ Ἀβιμέλεχ, λέγων· Εὐλογήσω σε, ὁ θεὸς τοῦ οὐρανοῦ καὶ τῆς γῆς, ἡ ἀνάπαυσις τῶν ψυχῶν τῶν δικαίων ἐν παντὶ τόπῳ.
5:33	εἶτα λέγει τῷ γηραιῷ ἀνθρώπῳ· Ποῖός ἐστιν ὁ μὴν οὗτος;
5:34	ὁ δὲ εἶπε· Νισσάν, ὁ ἐστιν Ἀβίβ.
5:35	καὶ ἐπάρας ἐκ τῶν σύκων, ἔδωκε τῷ γηραιῷ ἀνθρώπῳ, καὶ λέγει αὐτῷ· Ὁ θεὸς φωταγωγήσει σε εἰς τὴν ἄνω πόλιν Ἰερουσαλήμ.
6:1	Μετὰ ταῦτα ἐξῆλθεν Ἀβιμέλεχ ἔξω τῆς πόλεως, καὶ προσηύξατο πρὸς κύριον.
6:2	καὶ ἰδοὺ ἄγγελος κυρίου ἦλθε, καὶ κράτησας αὐτὸν τῆς δεξιᾶς χειρὸς ἀπεκατέστησεν αὐτὸν εἰς τὸν τόπον ὅπου ἦν Βαροὺχ καθεζόμενος· εὗρε δὲ αὐτὸν ἐν μνημείῳ.
6:3	καὶ ἐν τῷ θεωρῆσαι ἀλλήλους, ἔκλαυσαν ἀμφότεροι καὶ κατεφίλησαν ἀλλήλους.
6:4	ἀναβλέψας δὲ Βαροὺχ τοῖς ὀφθαλμοῖς αὐτοῦ εἶδε τὰ σῦκα ἐσκεπασμένα ἐν τῷ κοφίνῳ τοῦ Ἀβιμέλεχ.
6:5	καὶ ἄρας τοὺς ὀφθαλμοὺς αὐτοῦ εἰς τὸν οὐρανόν, προσηύξατο, λέγων·
6:6	Σὺ ὁ θεὸς ὁ παρέχων μισθαποδοσίαν τοῖς ἀγαπῶσί σε. ἑτοίμασον σεαυτήν, ἡ καρδία μου, καὶ εὐφραίνου, καὶ ἀγάλλου ἐν τῷ σκηνώματί σου λέγων τῷ σαρκικῷ οἴκῳ σου τὸ πένθος σου μετεστράφη εἰς χαράν· ἔρχεται γὰρ ὁ ἱκανός, καὶ ἀρεῖ σε ἐν τῷ σκηνώματι σου, οὐ γὰρ γέγονέ σοι ἁμαρτία.
6:7	ἀνάψυξον ἐν τῷ σκηνώματί σου ἐν τῇ παρθενικῇ σου πίστει καὶ πίστευσον ὅτι ζήσεις.
6:8	ἐπίβλεψον ἐπὶ τὸν κόφινον τοῦτον τῶν σύκων· ἰδοὺ γὰρ ἐξηκονταὲξ ἔτη ἐποίησαν, καὶ οὐκ ἐμαράνθησαν, οὐδὲ ὤζεσαν, ἀλλὰ στάζουσι τοῦ γάλακτος.
6:9	οὕτως γίνεταί σοι ἡ σάρξ μου, ἐὰν ποιήσῃς τὰ προσταχθέντα σου ὑπὸ τοῦ ἀγγέλου τῆς δικαιοσύνης.
6:10	ὁ φυλάξας τὸν κόφινον τῶν σύκων, αὐτὸς πάλιν φυλάξει σε ἐν τῇ δυνάμει αὐτοῦ.
6:11	ταῦτα εἰπὼν ὁ Βαρούχ, λέγει τῷ Ἀβιμέλεχ· Ἀνάστηθι, καὶ εὐξώμεθα, ἵνα γνωρίσῃ ἡμῖν ὁ κύριος πῶς δυνησώμεθα ἀποστεῖλαι τὴν φάσιν τῷ Ἰερεμίᾳ εἰς Βαβυλῶνα διὰ τὴν σκέπην τὴν γενομένην σοι ἐν τῇ ὁδῷ.
6:12	καὶ εὔξατο Βαρούχ, λέγων· Ἡ δύναμις ἡμῶν, ὁ θεὸς κύριε, τὸ ἐκλεκτὸν φῶς, τὸ ἐξελθὸν ἐκ στόματός σου.
6:13	παρακαλοῦμεν καὶ δεόμεθά σου τῆς ἀγαθότητος, τὸ μέγα ὄνομα, ὃ οὐδεὶς δύναται γνῶναι, ἄκουσον τῆς φωνῆς τῶν δούλων σου, καὶ γενοῦ γνῶσις ἐν τῇ καρδίᾳ ἡμῶν.
6:14	τί ποιήσωμεν, καὶ πῶς ἀποστείλωμεν πρὸς Ἰερεμίαν εἰς Βαβυλῶνα τὴν φάσιν ταύτην;
6:15	ἔτι δὲ προσευχομένου τοῦ Βαρούχ, ἰδοὺ ἄγγελος κυρίου ἤλθε, καὶ λέγει τῷ Βαρούχ ἁπάντας τοὺς λόγους τούτους· Ὁ σύμβουλος τοῦ φωτός, μὴ μεριμνήσῃς τὸ πῶς ἀποστείλῃς πρὸς Ἰερεμίαν· ἔρχεται γὰρ πρός σε ὥρᾳ τοῦ φωτὸς αὔριον ἀετός, καὶ σὺ ἐπισκέψῃ πρὸς Ἰερεμίαν.
6:16	γράψον οὖν ἐν τῇ ἐπιστολῇ ὅτι· Λάλησον τοῖς υἱοῖς Ἰσραήλ· Ὁ γενόμενος ἐν ὑμῖν ξένος, ἀφορισθήτω, καὶ ποιήσωσι ιέ ἡμέρας· καὶ μετὰ ταῦτα εἰσάξω ὑμᾶς εἰς τὴν πόλιν ὑμῶν, λέγει κύριος.
6:17	ὁ μὴ ἀφοριζόμενος ἐκ τῆς Βαβυλῶνος. οὐ μὴ εἰσέλθῃ εἰς τὴν πόλιν· καὶ ἐπιτιμῶ αὐτοῖς, τοῦ μὴ ἀποδεχθῆναι αὐτοὺς αὖθις ὑπὸ τῶν Βαβυλωνιτῶν, λέγει κύριος.
